Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,4070,4069,4059,4750,4461,3137,3302,3614,3925,3551,4374,4532,4313
  └─ YOY Sales Growth %,102.39%,207.85%,106.71%,97.71%,9.61%,-22.90%,-18.66%,-23.92%,-12.02%,13.20%,32.46%,25.43%,9.87%
Expenses,3650,3712,3660,4287,4131,2763,2902,3179,3465,3026,3783,3917,3809
  └─ Material Cost %,71%,69%,67%,70%,73%,64%,62%,64%,64%,57%,62%,63%,62%
  └─ Employee Cost %,5%,5%,6%,5%,5%,7%,8%,7%,7%,8%,7%,7%,7%
Operating Profit,421,357,400,463,330,374,400,434,460,525,591,616,504
OPM %,10%,9%,10%,10%,7%,12%,12%,12%,12%,15%,14%,14%,12%
Other Income,91,50,227,62,178,83,125,487,570,84,131,120,142
  └─ Exceptional items,0,0,0,0,0,0,-11,0,476,0,0,0,0
  └─ Other income normal,91,50,227,62,178,83,136,487,93,84,131,120,142
Interest,95,92,75,62,75,66,83,82,88,63,49,51,49
Depreciation,91,86,86,90,87,85,89,90,87,85,84,93,93
Profit before tax,325,228,466,373,347,305,352,749,855,461,588,593,504
Tax %,26%,26%,17%,21%,17%,19%,20%,10%,18%,24%,25%,23%,26%
Net Profit,240,168,387,294,287,248,283,672,699,349,444,456,371
  └─ Minority share,-4,-3,-2,-2,-19,0,4,3,-1,1,-4,-4,-1
  └─ Exceptional items AT,0,0,0,0,0,0,-9,0,390,0,0,0,0
  └─ Profit excl Excep,240,168,387,294,287,248,292,672,310,349,444,456,371
  └─ Profit for PE,236,165,385,292,268,248,296,675,309,350,440,453,370
  └─ Profit for EPS,236,165,385,292,268,248,287,675,698,350,440,453,370
  └─ YOY Profit Growth %,-0%,3924%,780%,1156%,14%,50%,-23%,131%,15%,41%,49%,-33%,20%
EPS in Rs,9.02,6.32,14.70,11.15,10.24,9.46,10.94,25.72,26.62,13.31,16.68,17.16,14.04
Raw PDF,,,,,,,,,,,,,
