Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,3.32,2.31,2.11,1.13,0.91,0.73,1.63,0.83,0.71,0.78,0.76,1.12,1.08
  └─ YOY Sales Growth %,78%,-28%,-51%,-71%,-73%,-68%,-23%,-27%,-22%,7%,-53%,35%,52%
Expenses,6.48,5.21,6.60,0.35,6.03,3.54,2.66,2.82,2.24,2.51,2.62,2.86,2.88
  └─ Employee Cost %,119%,133%,183%,-120%,286%,307%,103%,204%,224%,215%,228%,161%,176%
Operating Profit,-3.16,-2.90,-4.49,0.78,-5.12,-2.81,-1.03,-1.99,-1.53,-1.73,-1.86,-1.74,-1.80
OPM %,-95.18%,-125.54%,-212.80%,69.03%,-562.64%,-384.93%,-63.19%,-239.76%,-215.49%,-221.79%,-244.74%,-155.36%,-166.67%
Other Income,0.53,0.37,0.49,0.26,-0.61,-0.60,0.42,0.23,-0.06,0.14,0.21,-0.08,0.18
  └─ Exceptional items,0.00,0.00,0.00,0.00,-1.00,-0.79,0.05,0.00,-0.17,0.00,0.00,-0.28,0.00
  └─ Other income normal,0.53,0.37,0.49,0.26,0.39,0.19,0.37,0.23,0.11,0.14,0.21,0.20,0.18
Interest,0.08,0.05,0.06,0.05,0.05,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01
Depreciation,0.51,0.52,0.53,0.53,0.51,0.49,0.44,0.32,0.24,0.29,0.29,0.23,0.22
Profit before tax,-3.22,-3.10,-4.59,0.46,-6.29,-3.94,-1.08,-2.10,-1.85,-1.89,-1.95,-2.06,-1.85
Tax %,0.93%,23.23%,-1.31%,-10.87%,-3.97%,-0.25%,3.70%,-0.95%,-0.00%,-0.00%,-0.51%,-2.91%,-3.78%
Net Profit,-3.25,-3.83,-4.54,0.51,-6.04,-3.93,-1.12,-2.09,-1.86,-1.88,-1.93,-2.00,-1.78
  └─ Minority share,-0.05,0.16,0.11,0.13,0.22,0.02,-0.05,0.03,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,-1.00,-0.79,0.05,0.00,-0.17,0.00,0.00,-0.28,0.00
  └─ Profit excl Excep,-3.25,-3.83,-4.54,0.51,-5.04,-3.14,-1.17,-2.09,-1.69,-1.88,-1.93,-1.72,-1.78
  └─ Profit for PE,-3.30,-3.67,-4.43,0.64,-4.86,-3.12,-1.22,-2.06,-1.69,-1.88,-1.93,-1.72,-1.78
  └─ Profit for EPS,-3.30,-3.67,-4.43,0.64,-5.82,-3.91,-1.17,-2.06,-1.86,-1.88,-1.93,-2.00,-1.78
  └─ YOY Profit Growth %,33.33%,6.14%,-14.77%,113.79%,-47.16%,14.88%,72.46%,-421.88%,65.20%,39.82%,-58.20%,16.50%,-5.33%
EPS in Rs,-2.27,-2.53,-3.05,0.44,-3.98,-2.66,-0.80,-1.40,-1.26,-1.27,-1.31,-1.36,-1.21
Raw PDF,,,,,,,,,,,,,
